#Pleiades SPK Reference Corpus
#Source: JPL DE small-body perturber kernel: sb441-n16.bsp
#Kernel-SHA256: 919d612ce3c72a78fc7158f9120156542d0f21e6b8b052e4c1339c759747fd90
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: asteroid_reference
#Columns:epoch_jd,body,x_km,y_km,z_km
2415020.5,Ceres,24117509.851644,-570442584.945046,-10082024.699450
2415200.5,Ceres,219367609.509919,-214465932.987165,-54688964.248695
2415380.5,Ceres,420618880.269171,-316248448.759544,-79585398.466926
2415560.5,Ceres,412144400.977579,236173947.342775,-76371396.309109
2415740.5,Ceres,286361292.071278,158964653.108789,-44835964.815805
2415920.5,Ceres,30765092.893219,549593077.894896,5058935.526970
2416100.5,Ceres,-249598972.530062,149592075.687423,51889827.458332
2416280.5,Ceres,-359539610.422696,188050856.979780,70634238.612360
2416460.5,Ceres,-336271013.890059,-389081590.592427,51408041.192820
2416640.5,Ceres,-65393245.207698,-260209001.944998,6849051.984147
2416820.5,Ceres,126011061.897036,-546104003.253292,-41093558.930531
2417000.5,Ceres,405473697.669728,-101710620.958429,-73988616.812810
2417180.5,Ceres,382659877.753453,-141912323.929715,-80776289.053829
2417360.5,Ceres,401791406.357782,381920706.187759,-58260693.201028
2417540.5,Ceres,57801973.649210,253171608.285123,-12646390.561661
2417720.5,Ceres,-90007055.312772,488027914.491431,38229841.451647
2417900.5,Ceres,-427597126.689744,7909195.050467,68660653.696068
2418080.5,Ceres,-277031443.157117,-27128204.044251,61838675.065448
2418260.5,Ceres,-267560427.609245,-490726103.233661,23621352.274572
2418440.5,Ceres,166618683.644652,-303424647.173353,-25464438.097323
2418620.5,Ceres,207795635.826930,-425940404.080138,-65109299.799807
2418800.5,Ceres,526351381.877236,21003404.374196,-81601372.155531
2418980.5,Ceres,285873859.821908,61733560.042367,-68925711.702315
2419160.5,Ceres,319537736.542695,457581725.710162,-29788346.487799
2419340.5,Ceres,-181276231.556978,295851486.875910,21954018.687606
2419520.5,Ceres,-185052517.385370,318969998.806029,62095036.644069
2419700.5,Ceres,-503027099.940181,-137855075.276106,68534454.507862
2419880.5,Ceres,-129636215.010870,-230468530.300112,39148423.928923
2420060.5,Ceres,-145298836.668312,-494566773.567700,-8781041.400040
2420240.5,Ceres,369293768.325472,-297609422.826714,-53611021.975116
2420420.5,Ceres,263562519.602422,-232696619.130498,-79092535.612397
2420600.5,Ceres,562802023.214632,136325593.385613,-76590551.874075
2420780.5,Ceres,147698845.583606,258126931.591668,-45765747.491535
2420960.5,Ceres,180014594.573027,444332774.712090,3704198.386857
2421140.5,Ceres,-376917289.524793,273110268.724138,50773040.612042
2421320.5,Ceres,-227754396.349709,80376615.609034,70434499.726835
2421500.5,Ceres,-464364536.395311,-252534757.342214,52090682.463727
2421680.5,Ceres,46725728.552420,-386260852.882791,7866657.115907
2421860.5,Ceres,8480399.828316,-408784091.911765,-40218966.780938
2422040.5,Ceres,509426107.218847,-246192888.997845,-73506321.108749
2422220.5,Ceres,285448899.936718,-116697.798595,-80885402.950401
2422400.5,Ceres,502098949.743423,227477327.299410,-59122895.753863
2422580.5,Ceres,-16153523.505511,408162959.412170,-14202682.808576
2422760.5,Ceres,1326388.416374,336804540.014471,36618360.309438
2422940.5,Ceres,-491898334.211492,181706397.894861,67901357.644075
2423120.5,Ceres,-212112020.320871,-181313040.054418,62038792.390603
2423300.5,Ceres,-326649609.838725,-317349440.932052,24158895.787165
2423480.5,Ceres,213456946.494557,-472285773.198484,-25016611.596235
2423660.5,Ceres,166025716.367734,-256309607.919327,-64882243.118380
2423840.5,Ceres,562391418.357898,-157638764.102672,-81714861.678187
2424020.5,Ceres,266859992.871123,231094355.063811,-69582975.036737
2424200.5,Ceres,348071835.391978,278046858.038746,-31039181.861840
2424380.5,Ceres,-178806209.417457,474276171.752432,20518163.257258
2424560.5,Ceres,-174536187.271385,148537953.372857,61184717.088486
2424740.5,Ceres,-493701526.270142,45737490.462385,68382994.437670
2424920.5,Ceres,-144385464.185762,-403278059.018183,39372440.435511
2425100.5,Ceres,-124611295.612974,-319194249.043059,-8509349.473832
2425280.5,Ceres,338214716.061142,-475169459.805281,-53411850.839235
2425460.5,Ceres,301961737.969053,-65163629.567247,-79068422.218467
2425640.5,Ceres,519523179.466258,-40508098.128594,-76823789.517903
2425820.5,Ceres,205138523.137932,422089402.941113,-46165732.026780
2426000.5,Ceres,123403268.915778,275753552.785629,3352728.235558
2426180.5,Ceres,-305310846.429511,436290007.748766,50649653.632280
2426360.5,Ceres,-302887975.202477,-77718614.725004,70693544.839256
2426540.5,Ceres,-384772640.995199,-94427271.543001,52873875.958103
2426720.5,Ceres,-49383585.308754,-539711461.782900,8988994.333640
2426900.5,Ceres,98518951.797224,-265449886.385690,-39194694.790143
2427080.5,Ceres,401783837.485620,-397550005.369413,-72939926.487081
2427260.5,Ceres,393891992.167989,130710456.184533,-80837507.547945
2427440.5,Ceres,387683786.767035,87286453.154548,-59421673.732314
2427620.5,Ceres,108184697.017855,533078792.079286,-14590980.771167
2427800.5,Ceres,-123805118.529792,213865571.190047,36337620.426833
2427980.5,Ceres,-359196817.268802,301935348.537781,68037819.984835
2428160.5,Ceres,-355016167.138705,-287516439.830225,62927674.774632
2428340.5,Ceres,-193062988.244176,-210936915.373135,25658604.341277
2428520.5,Ceres,55778615.846875,-573035214.333716,-23530206.891968
2428700.5,Ceres,309853238.972818,-172155567.892147,-63927619.953901
2428880.5,Ceres,403029536.786340,-250688138.951518,-81524534.586663
2429060.5,Ceres,427129749.617744,299931952.449184,-70150916.561249
2429240.5,Ceres,190191929.438573,203450517.468355,-32196974.100231
2429420.5,Ceres,-7097300.611148,537403590.539092,19230296.567431
2429600.5,Ceres,-339671936.470092,100205226.613153,60455759.799597
2429780.5,Ceres,-326043131.127345,101305127.337552,68679481.528098
2429960.5,Ceres,-325152573.249582,-436937938.990531,40450072.027762
2430140.5,Ceres,39433306.989240,-286920495.048612,-7243111.152366
2430320.5,Ceres,154048399.458303,-502720437.469718,-52471471.080617
2430500.5,Ceres,473106280.055859,-56566021.074648,-78775339.569511
2430680.5,Ceres,342635038.773818,-56052680.281467,-77381539.163157
2430860.5,Ceres,387254749.132463,416207204.849218,-47554807.817879
2431040.5,Ceres,-45242938.086689,284072999.752656,1544260.335512
2431220.5,Ceres,-122836369.548161,426056685.388771,49272236.599003
2431400.5,Ceres,-477329762.625434,-45122063.040750,70244256.132610
2431580.5,Ceres,-214246689.702494,-120251418.676711,53077800.342453
2431760.5,Ceres,-227094732.190443,-496671070.186577,9419915.033964
2431940.5,Ceres,263590605.402892,-313454213.737991,-38760553.573932
2432120.5,Ceres,229963378.211649,-345432096.468526,-72730982.486270
2432300.5,Ceres,558846733.852507,62630113.220526,-81116375.609016
2432480.5,Ceres,229149320.859248,153122914.537186,-60336689.192142
2432660.5,Ceres,274069713.573465,454618933.439345,-15903407.483469
2432840.5,Ceres,-272799301.641021,302558275.255886,35199386.337310
2433020.5,Ceres,-204987378.361237,216724824.809386,67495420.883129
2433200.5,Ceres,-502599025.504480,-183309431.092537,62867453.808069
2433380.5,Ceres,-52918770.807911,-312075096.271802,25851152.326608
2433560.5,Ceres,-84738352.426769,-460162344.956325,-23215146.659025
2433740.5,Ceres,439962072.073120,-290006096.763140,-63642654.360397
2433920.5,Ceres,275574107.164749,-129032189.516857,-81434013.026830
2434100.5,Ceres,550228414.811003,169883172.277851,-70273974.158269
2434280.5,Ceres,78696121.041243,338304121.386393,-32444707.868924
2434460.5,Ceres,106903166.526545,401798056.626052,18963312.688594
2434640.5,Ceres,-438615571.247114,251670818.724400,60396828.218500
2434820.5,Ceres,-230214852.196802,-37663813.141585,69203867.865408
2435000.5,Ceres,-419380199.409942,-276443314.397205,41557262.765319
2435180.5,Ceres,115061379.530194,-440413333.980023,-6037165.776483
2435360.5,Ceres,73917871.704220,-343607930.450468,-51631368.080931
2435540.5,Ceres,539455086.426768,-223098310.593517,-78433382.109150
2435720.5,Ceres,284372488.415214,107240206.931605,-77438880.391229
2435900.5,Ceres,445254997.057748,245950161.781034,-47884151.133448
2436080.5,Ceres,-82968077.452888,456948536.509770,1021568.759112
2436260.5,Ceres,-78159357.923148,259907102.047312,48852705.198399
2436440.5,Ceres,-504034018.109445,140352041.148084,70578155.600661
2436620.5,Ceres,-196576925.319854,-285820398.983991,54384622.613296
2436800.5,Ceres,-248272218.068529,-315937655.323880,11060219.321525
2436980.5,Ceres,262604149.336674,-492127001.548808,-37515730.866159
2437160.5,Ceres,229348864.456357,-174391584.650841,-72198153.064817
2437340.5,Ceres,550228081.743531,-121413738.796850,-81307974.239794
2437520.5,Ceres,253863407.034683,322665574.875896,-61156552.749488
2437700.5,Ceres,257973365.518333,276883508.982108,-17150891.493897
2437880.5,Ceres,-227980296.297869,479598290.222275,34039155.175600
2438060.5,Ceres,-240824505.173093,53758391.096801,67186304.765102
2438240.5,Ceres,-454495077.250516,-4228955.557266,63715963.422001
2438420.5,Ceres,-117174550.416083,-475155920.597863,27321183.198924
2438600.5,Ceres,-27957455.115672,-297672098.317932,-21867954.895402
2438780.5,Ceres,362253012.834855,-459047680.492263,-62896081.663671
2438960.5,Ceres,353924252.488351,18622542.005750,-81500608.660490
2439140.5,Ceres,467973117.142481,4835930.281555,-71195111.081906
2439320.5,Ceres,180509007.686522,481116614.109238,-33995750.167250
2439500.5,Ceres,16117784.788228,253762336.645411,17407075.771678
2439680.5,Ceres,-326356531.623683,395335486.353719,59540954.908604
2439860.5,Ceres,-342587823.653267,-170792610.997936,69205224.289936
2440040.5,Ceres,-304322498.957772,-144196713.007073,42161236.296476
2440220.5,Ceres,-15806473.071320,-568451756.878313,-5159434.789711
2440400.5,Ceres,197866694.316404,-230404876.990157,-50852078.065413
2440580.5,Ceres,400082478.631083,-346863012.389096,-78148668.023085
2440760.5,Ceres,425146536.831381,203957449.660669,-77876671.384808
2440940.5,Ceres,304135965.726983,136326353.357548,-48937363.507066
2441120.5,Ceres,72174919.600544,547574874.717503,-166852.137173
2441300.5,Ceres,-228504917.137296,172913031.069261,48071693.859570
2441480.5,Ceres,-346956639.649412,223536189.112986,70446102.189321
2441660.5,Ceres,-362102205.139787,-356971675.632255,54843219.903098
2441840.5,Ceres,-91343838.586165,-250065124.603101,11922241.553470
2442020.5,Ceres,87639811.902493,-553985183.525236,-36602252.043773
2442200.5,Ceres,392730523.125501,-129533959.431181,-71597049.712517
2442380.5,Ceres,375977779.033419,-171450927.987199,-81215035.244881
2442560.5,Ceres,428720738.795273,352505643.345190,-61584209.786914
2442740.5,Ceres,87992593.211055,247699605.385767,-18022494.764162
2442920.5,Ceres,-46435433.651424,503492739.626222,33070374.621466
2443100.5,Ceres,-415677207.030040,52222269.406268,66783440.066322
2443280.5,Ceres,-282624793.655013,10365144.532530,64257884.348535
2443460.5,Ceres,-303902176.774093,-463776026.467653,28414335.005765
2443640.5,Ceres,138403227.329348,-308426807.630950,-20836791.005595
2443820.5,Ceres,178935801.125157,-440766644.632091,-62252908.263483
2444000.5,Ceres,525023282.335417,-13479284.508352,-81316163.537481
2444180.5,Ceres,295635776.411353,37458164.006797,-71523793.651254
2444360.5,Ceres,357362808.069396,436185288.204181,-34899447.670434
2444540.5,Ceres,-144811405.048598,310354049.521707,16122404.219153
2444720.5,Ceres,-153467286.809271,348280218.455640,58652721.514553
2444900.5,Ceres,-507581239.301792,-88823593.346859,69431372.231144
2445080.5,Ceres,-150952262.939484,-206816082.316674,43180036.112804
2445260.5,Ceres,-181769163.724002,-481847562.508846,-4140362.166144
2445440.5,Ceres,344548691.594554,-318222707.980172,-50241805.572498
2445620.5,Ceres,247879179.751633,-254159774.838512,-78026664.291993
2445800.5,Ceres,571434151.057191,98650711.492798,-78278931.534279
2445980.5,Ceres,170713858.321812,242323772.967015,-49933457.280209
2446160.5,Ceres,217550933.440370,435635898.695422,-1589076.577169
2446340.5,Ceres,-348388576.952138,302751790.438338,46885228.377007
2446520.5,Ceres,-219115450.908863,110947770.469594,70217484.374327
2446700.5,Ceres,-483255998.850986,-213692833.848859,55492291.591443
2446880.5,Ceres,14973442.522798,-380596713.285948,12807081.373433
2447060.5,Ceres,-23491445.548902,-411135921.287713,-35941602.392065
2447240.5,Ceres,489558760.222646,-278625545.186827,-71346286.860223
2447420.5,Ceres,284486925.688473,-25341359.627416,-81477285.022445
2447600.5,Ceres,519440032.734534,193571320.538931,-62349949.485428
2447780.5,Ceres,16631181.907252,404831936.110171,-19014362.661167
2447960.5,Ceres,31885165.816063,343960200.381124,32312654.735163
2448140.5,Ceres,-475563319.168683,222029676.736196,66571803.342672
2448320.5,Ceres,-225762828.499664,-152008420.797572,64673752.713857
2448500.5,Ceres,-355989200.299640,-290497023.740852,29358526.873804
2448680.5,Ceres,174697027.772594,-481314350.043934,-19713943.464630
2448860.5,Ceres,141902509.816199,-272035580.996644,-61419503.830229
2449040.5,Ceres,550246214.138164,-196084584.071095,-81096113.248181
2449220.5,Ceres,281876616.187739,206339978.591755,-71929472.073346
2449400.5,Ceres,373408352.059941,255095958.827591,-35648019.241106
2449580.5,Ceres,-139543246.958063,486592478.131850,15437340.794709
2449760.5,Ceres,-155001980.833918,174044725.497674,58357609.800564
2449940.5,Ceres,-492012251.034172,91804500.705070,69774831.767050
2450120.5,Ceres,-176621497.668597,-379089906.828025,44228986.611653
2450300.5,Ceres,-157438205.552827,-308141879.868306,-2734916.199669
2450480.5,Ceres,301095269.986768,-496237772.408689,-49043174.977940
2450660.5,Ceres,291783600.772626,-91745298.741075,-77429788.977531
2450840.5,Ceres,520520054.575911,-79402692.284400,-78440466.504045
2451020.5,Ceres,239122968.260562,400840218.414815,-50833040.243470
2451200.5,Ceres,159183761.079725,269739984.968908,-2960574.310428
2451380.5,Ceres,-263369908.635570,466122798.925468,45686227.332968
2451560.5,Ceres,-298571117.301371,-37849784.004853,69889820.115609
2451740.5,Ceres,-396182873.700653,-55162292.337597,56112610.792722
2451920.5,Ceres,-88221244.768048,-527286475.598446,13859526.840374
2452100.5,Ceres,73593096.422600,-271105604.545763,-34973256.860493
2452280.5,Ceres,375876936.468396,-424745367.648972,-70778005.670650
2452460.5,Ceres,400507674.743005,99032816.058596,-81531986.108574
2452640.5,Ceres,402511318.601066,56394474.190085,-63199355.178571
2452820.5,Ceres,153496568.733776,522526505.413507,-20588668.664304
2453000.5,Ceres,-90932640.406491,228990239.152313,30611843.781051
2453180.5,Ceres,-332093084.083219,339941728.220687,65649435.621190
2453360.5,Ceres,-370078473.869920,-249325938.308251,64717646.300481
2453540.5,Ceres,-213534468.268626,-189836145.301974,29803408.955188
2453720.5,Ceres,17238321.573406,-573444718.255851,-19293589.583001
2453900.5,Ceres,293115129.074374,-192438003.845304,-61170918.857451
2454080.5,Ceres,388669005.490841,-279713450.544700,-81163901.010417
2454260.5,Ceres,446155947.720752,268398877.492306,-72526024.628718
2454440.5,Ceres,213286335.237644,187523879.584230,-36840509.654913
2454620.5,Ceres,36089555.721287,540942770.973959,14018247.648033
2454800.5,Ceres,-321137911.410393,131922096.143378,57381677.124558
2454980.5,Ceres,-320079113.456838,137012046.142614,69506055.806974
2455160.5,Ceres,-354994976.981611,-406623239.587394,44345771.182908
2455340.5,Ceres,12610511.337198,-283754054.767022,-2532254.939588
2455520.5,Ceres,119654412.732287,-513137562.748766,-48858726.099852
2455700.5,Ceres,464643557.475333,-87332321.894671,-77371874.757484
2455880.5,Ceres,341491014.588499,-82270205.488387,-78596150.501251
2456060.5,Ceres,415607230.609125,390183039.841494,-51139426.787387
2456240.5,Ceres,-16555083.821447,286527723.580998,-3238394.875949
2456420.5,Ceres,-88070615.318938,444749820.805493,45579983.075042
2456600.5,Ceres,-474630720.100691,124141.052507,70133568.470252
2456780.5,Ceres,-229554502.654330,-89062168.544143,56894238.885574
2456960.5,Ceres,-267375374.482857,-475478132.043084,15025348.002996
2457140.5,Ceres,232512399.613515,-326653401.897329,-33888574.277735
2457320.5,Ceres,203944050.472536,-364429641.347114,-70146134.077035
2457500.5,Ceres,559788320.785652,25159293.193184,-81420306.850356
2457680.5,Ceres,243708112.519089,132390240.277102,-63434508.193008
2457860.5,Ceres,310860546.580819,438551001.987258,-20949228.057673
2458040.5,Ceres,-239499160.592484,325239509.883399,30308461.785679
2458220.5,Ceres,-184063739.276734,249708710.049024,65718400.192916
2458400.5,Ceres,-515955010.558388,-133950627.490377,65585277.241855
2458580.5,Ceres,-84200322.515797,-293496233.253060,31362484.382896
2458760.5,Ceres,-124316408.160898,-453445501.225974,-17702815.949120
2458940.5,Ceres,413225530.583663,-318078086.940720,-60128293.600988
2459120.5,Ceres,265375916.187880,-155534469.801046,-80904533.760753
2459300.5,Ceres,564234667.544832,129369992.306780,-73039690.547830
2459480.5,Ceres,111616674.351976,324928284.997901,-37947556.261717
2459660.5,Ceres,148153735.676353,399883083.200993,12725094.651381
2459840.5,Ceres,-409514271.784651,289428312.569932,56585845.844460
2460020.5,Ceres,-229130453.685577,-4386347.956850,69750632.491071
2460200.5,Ceres,-441152610.496833,-240949666.825506,45489735.322932
2460380.5,Ceres,81093698.168080,-440569384.744820,-1125831.521276
2460560.5,Ceres,46582600.847998,-351794555.232344,-47775886.340415
2460740.5,Ceres,523173522.127510,-259882024.205758,-76981688.588967
2460920.5,Ceres,292414129.388790,78833854.679135,-79088029.838495
2461100.5,Ceres,469595939.651391,212766719.842593,-52495165.120441
2461280.5,Ceres,-41210775.220191,457996811.295394,-5053013.213091
2461460.5,Ceres,-47495818.821131,274589040.390265,44120726.259171
2461640.5,Ceres,-489934557.455524,182623827.366830,69603777.499496
2461820.5,Ceres,-214886991.360397,-260395109.255980,57092404.151649
2462000.5,Ceres,-274140520.546594,-297070682.798078,15534886.301795
2462180.5,Ceres,228056178.996525,-505900070.829593,-33341737.367278
2462360.5,Ceres,213711392.883197,-193829654.337524,-69828303.734573
2462540.5,Ceres,543626741.595166,-159370682.817179,-81624070.677862
2462720.5,Ceres,276576614.693778,298804250.928324,-64304184.563535
2462900.5,Ceres,286069918.584979,259642958.519516,-22261704.795949
2463080.5,Ceres,-188215709.063767,496428212.663691,29127598.738818
2463260.5,Ceres,-228314654.506093,82106753.780979,65127358.838650
2463440.5,Ceres,-456891343.704712,35271931.881737,65549306.649793
2463620.5,Ceres,-150266558.255242,-458216398.008722,31657453.907580
2463800.5,Ceres,-54458109.878444,-294626769.174626,-17244455.001741
2463980.5,Ceres,331328825.664151,-481344109.126472,-59716727.856685
2464160.5,Ceres,351268936.024250,-7933169.774329,-80740254.144016
2464340.5,Ceres,472382656.738382,-27411387.526458,-73171049.076463
2464520.5,Ceres,215660848.180673,466162423.190236,-38291566.204750
2464700.5,Ceres,46562775.285306,257587634.838131,12287472.985030
2464880.5,Ceres,-292685606.691586,429118856.929130,56342795.744136
2465060.5,Ceres,-349071053.177242,-128760511.155368,70160287.891074
2465240.5,Ceres,-323072694.864012,-110324609.321808,46588140.719112
2465420.5,Ceres,-58772806.919698,-559820057.394706,138552.091810
2465600.5,Ceres,173823644.964853,-242207254.180422,-46865320.835490
2465780.5,Ceres,377361019.578203,-373716696.477781,-76585764.682563
2465960.5,Ceres,436217604.321829,173355252.444645,-79128846.214116
2466140.5,Ceres,321592722.438734,113698098.887242,-52874765.453184
2466320.5,Ceres,117048956.954296,544228584.248268,-5710642.781330
2466500.5,Ceres,-200454075.942181,198844195.637059,43496686.298126
2466680.5,Ceres,-328643270.918106,265934113.444976,69727594.626739
2466860.5,Ceres,-386481001.787893,-315948147.746441,58287659.731772
2467040.5,Ceres,-118924724.120905,-233847025.043726,17155890.304044
2467220.5,Ceres,46954541.938687,-557810454.147492,-32071640.082391
2467400.5,Ceres,377283709.045844,-156142188.785278,-69252334.717483
2467580.5,Ceres,366677223.793406,-201357486.240066,-81751325.346873
2467760.5,Ceres,452844847.432097,320167081.606071,-65061733.555542
2467940.5,Ceres,115826527.241222,237983769.843226,-23495400.878209
2468120.5,Ceres,-4389373.960159,512058654.486983,27866063.384539
2468300.5,Ceres,-401844996.356284,89561552.847028,64638007.249305
2468480.5,Ceres,-284226145.862059,43195087.078935,66247377.657063
2468660.5,Ceres,-336984837.297666,-437261690.255619,33071518.585447
2468840.5,Ceres,109716846.005542,-313176999.264771,-15900761.951249
2469020.5,Ceres,147444742.579003,-456093420.159344,-58931440.570923
2469200.5,Ceres,519765308.991139,-50669795.235960,-80724988.979851
2469380.5,Ceres,301681286.289126,10007085.884467,-73964234.439264
